,master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment
0,cc294636-19f0-11eb-8d74-000d3a38a36f,211 days,5.0,939.37,5,4,4,54,champions
1,f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,1571 days,21.0,2013.55,1,5,5,15,cant_loose
2,69b69676-1a40-11ea-941b-000d3a38a36f,549 days,5.0,585.32,4,4,3,44,loyal_customers
3,1854e56c-491f-11eb-806e-000d3a38a36f,143 days,2.0,121.97,5,1,1,51,new_customers
4,d6ea1074-f1f5-11e9-9346-000d3a38a36f,665 days,2.0,209.98000000000002,3,1,1,31,about_to_sleep
5,e585280e-aae1-11e9-a2fc-000d3a38a36f,923 days,3.0,200.86,2,2,1,22,hibernating
6,c445e4ee-6242-11ea-9d1a-000d3a38a36f,451 days,4.0,375.93,5,3,2,53,potential_loyalists
7,3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f,379 days,2.0,163.63,5,1,1,51,new_customers
8,cfbda69e-5b4f-11ea-aca7-000d3a38a36f,492 days,5.0,1054.69,4,4,5,44,loyal_customers
9,1143f032-440d-11ea-8b43-000d3a38a36f,669 days,2.0,165.96,3,1,1,31,about_to_sleep
10,ae608ece-c9d8-11ea-a31e-000d3a38a36f,314 days,2.0,114.97999999999999,5,1,1,51,new_customers
11,c2e15af2-9eed-11e9-9897-000d3a38a36f,2155 days,20.0,2861.6,1,5,5,15,cant_loose
12,2854f11a-0185-11ea-a5e8-000d3a38a36f,569 days,4.0,312.45,4,3,2,43,potential_loyalists
13,ec6c382a-3e97-11ea-a823-000d3a38a36f,685 days,4.0,557.79,3,3,3,33,need_attention
14,241f0ad0-afb5-11e9-9757-000d3a38a36f,883 days,24.0,4413.29,2,5,5,25,cant_loose
15,13ed97a4-b167-11e9-89fa-000d3a38a36f,716 days,8.0,932.36,3,5,4,35,loyal_customers
16,d9b77226-a509-11e9-a2fc-000d3a38a36f,846 days,5.0,495.25,2,4,3,24,at_risk
17,efb82ba4-aaba-11e9-a2fc-000d3a38a36f,689 days,4.0,888.86,3,3,4,33,need_attention
18,1ee5ae66-7237-11eb-aa44-000d3a38a36f,101 days,2.0,267.12,5,1,1,51,new_customers
19,2730793e-3908-11ea-85d6-000d3a38a36f,670 days,2.0,314.98,3,1,2,31,about_to_sleep
20,4da5c2ba-403b-11ea-aa6b-000d3a38a36f,632 days,2.0,109.97,3,1,1,31,about_to_sleep
21,7b289956-d691-11e9-93bc-000d3a38a36f,640 days,3.0,730.67,3,2,4,32,about_to_sleep
22,1a9b39d8-40ac-11ea-9be8-000d3a38a36f,559 days,2.0,219.97,4,1,1,41,promising
23,4fbb0cbe-9085-11ea-af25-000d3a38a36f,383 days,2.0,242.45,5,1,1,51,new_customers
24,d1fabf76-7171-11eb-a3e2-000d3a38a36f,103 days,4.0,1106.56,5,3,5,53,potential_loyalists
25,6ff327d4-b0e1-11e9-9757-000d3a38a36f,480 days,3.0,347.45,4,2,2,42,potential_loyalists
26,7e7732ae-2d78-11eb-8062-000d3a299ebf,187 days,2.0,532.31,5,1,3,51,new_customers
27,c1f8f878-9f35-11e9-9897-000d3a38a36f,2917 days,4.0,130.87,1,3,1,13,at_risk
28,5e1830d8-9e24-11e9-9897-000d3a38a36f,191 days,3.0,468.47,5,2,3,52,potential_loyalists
29,a46cc34a-a19f-11e9-a2fc-000d3a38a36f,825 days,2.0,175.98,2,1,1,21,hibernating
30,1618f596-130a-11ea-a001-000d3a38a36f,819 days,5.0,832.8199999999999,2,4,4,24,at_risk
31,c864868a-5134-11ea-99ba-000d3a38a36f,601 days,3.0,526.95,3,2,3,32,about_to_sleep
32,57b22f66-d6a3-11e9-93bc-000d3a38a36f,639 days,5.0,737.44,3,4,4,34,loyal_customers
33,fb840306-1219-11ea-a001-000d3a38a36f,497 days,8.0,923.64,4,5,4,45,loyal_customers
34,1acf7870-87af-11ea-ace9-000d3a38a36f,398 days,2.0,298.09000000000003,5,1,1,51,new_customers
35,7a52fd46-5be8-11ea-a7c9-000d3a38a36f,468 days,2.0,135.48,5,1,1,51,new_customers
36,196e721a-d6d9-11e9-93bc-000d3a38a36f,635 days,2.0,129.98,3,1,1,31,about_to_sleep
37,3551e96c-5b40-11ea-8e0b-000d3a38a36f,468 days,3.0,714.8900000000001,5,2,4,52,potential_loyalists
38,80c89c7a-d6dd-11e9-93bc-000d3a38a36f,635 days,2.0,340.9,3,1,2,31,about_to_sleep
39,280cd78c-f324-11e9-9346-000d3a38a36f,829 days,5.0,526.87,2,4,3,24,at_risk
40,6e47c6c2-4f49-11ea-99ba-000d3a38a36f,542 days,6.0,1099.8899999999999,4,4,5,44,loyal_customers
41,6a46e618-16f8-11ea-b4ec-000d3a38a36f,563 days,15.0,2930.34,4,5,5,45,loyal_customers
42,1e6a5e78-7a8a-11ea-8f20-000d3a38a36f,414 days,5.0,655.4300000000001,5,4,3,54,champions
43,6e19617c-f068-11ea-bde9-000d3a38a36f,265 days,2.0,314.93,5,1,2,51,new_customers
44,a9acbdcc-a872-11e9-a2fc-000d3a38a36f,1980 days,5.0,791.69,1,4,4,14,at_risk
45,d45e704c-b13c-11e9-9757-000d3a38a36f,606 days,3.0,1095.39,3,2,5,32,about_to_sleep
46,45b1d028-1da7-11ea-8bf2-000d3a38a36f,699 days,2.0,275.46,3,1,1,31,about_to_sleep
47,09797cba-5b4a-11ea-8975-000d3a38a36f,520 days,4.0,869.9300000000001,4,3,4,43,potential_loyalists
